1,43,1.03
2,43,1.03
3,45,1.03
4,45,1.03
5,29,1.05
6,29,1.05
7,45,1.03
8,45,1.03
9,28,1.06
10,28,1.06
11,28,1.06
12,28,1.06
13,2,1.92
14,3,1.205
15,22,0.98
16,2,1.92
17,4,1.108
18,23,0.98
19,2,1.92
20,5,1.108
21,24,0.98
22,2,1.92
23,6,1.108
24,2,1.92
25,7,1.151
26,2,1.92
27,8,1.157
28,2,1.92
29,9,1.124
30,22,0.98
31,2,1.92
32,10,1.108
33,23,0.98
34,2,1.92
35,11,1.108
36,25,0.98
37,2,1.92
38,12,1.108
39,2,1.92
40,13,1.228
41,2,1.92
42,14,1.123
43,2,1.92
44,15,1.165
45,2,1.92
46,16,1.183
47,2,1.92
48,17,1.05
49,2,1.92
50,18,1.074
51,2,1.92
52,19,1.112
53,2,1.92
54,20,1.031
55,2,1.92
56,21,1.041
57,26,1.1
58,26,1.1
59,26,1.1
60,26,1.1
61,32,1.05
62,49,0.95
63,48,1.02
64,49,0.95
65,48,1.02
66,34,1.05
67,34,1.05
68,34,1.05
69,34,1.05
70,45,1.03
71,45,1.03
72,36,1.04
73,51,1.04
74,37,1.04
75,51,1.04
76,38,1.04
77,51,1.04
78,38,1.04
79,51,1.04
80,38,1.04
81,51,1.04
82,38,1.04
83,51,1.04
84,38,1.04
85,51,1.04
86,38,1.04
87,33,1.05
88,28,1.06
89,35,1.05
90,35,1.05
91,35,1.05
92,35,1.05
93,35,1.05
94,35,1.05
95,30,1.05
96,28,1.06
97,50,0.382
98,28,1.06
99,50,0.382
100,47,1.03
101,47,1.03
102,47,1.03
103,47,1.03
104,47,1.03
105,47,1.03
106,29,1.05
107,29,1.05
108,29,1.05
109,29,1.05
110,44,1.03
111,42,1.04
112,42,1.04
113,31,1.05
114,45,1.03
115,46,1.03
116,49,0.95
117,49,0.95
118,49,0.95
119,49,0.95
120,45,1.03
121,45,1.03
122,27,1.09
123,27,1.09
124,27,1.09
125,27,1.09
126,45,1.03
127,39,1.04
128,1,2.75
129,42,1.04
130,42,1.04
131,45,1.03
132,40,1.04
133,29,1.05
134,45,1.03
135,45,1.03
136,45,1.03
137,41,1.04
138,52,1.04
139,46,1.03
140,53,0.001
