H,C,N,O,P,Ca,energy
0.08012358444993914,0.35949190404463066,0.477239073559848,0.6180427649679339,1.2369413241916152,1.7203905005686853,5000
0.07999742797986756,0.3590843015120237,0.47668460246195193,0.6173413355239439,1.2360343377713854,1.7189361019762062,5005
0.07987155774303556,0.3586775078338422,0.4761311285109911,0.6166410436485521,1.2351285675072303,1.7174835829922863,5010
0.07974597293371659,0.35827152100378834,0.47557864976763076,0.6159418874067368,1.2342240096352524,1.716032942264164,5015
0.07962067274875598,0.35786633902101894,0.4750271642947345,0.6152438648646563,1.233320660409871,1.7145841784279265,5020
0.07949565638756345,0.3574619598901349,0.4744766701573837,0.614546974089675,1.232418516103717,1.713137290108638,5025
0.07937092305210346,0.35705838162116343,0.4739271654228896,0.6138512131503804,1.2315175730075154,1.7116922759204445,5030
0.07924647194688793,0.35665560222955056,0.47337864816081526,0.6131565801166128,1.2306178274299844,1.7102491344667097,5035
0.07912230227896731,0.3562536197361451,0.47283111644298914,0.6124630730594829,1.2297192756977238,1.708807864340122,5040
0.07899841325792309,0.3558524321671895,0.472284568343525,0.6117706900514002,1.228821914155114,1.707368464122824,5045
0.07887480409585891,0.35545203755430477,0.4717390019388361,0.6110794291660911,1.227925739164206,1.7059309323865217,5050
0.07875147400739226,0.3550524339344773,0.47119441530764977,0.6103892884786203,1.227030747104615,1.7044952676925988,5055
0.0786284222096472,0.35465361935004996,0.4706508065310283,0.609700266065418,1.2261369343734232,1.7030614685922432,5060
0.07850564792224496,0.3542555918487047,0.47010817369237856,0.6090123600042949,1.2252442973850672,1.701629533626546,5065
0.0783831503672969,0.3538583494834545,0.46956651487747275,0.6083255683744695,1.224352832571245,1.7001994613266294,5070
0.07826092876939567,0.3534618903126277,0.46902582817445987,0.6076398892565846,1.223462536380805,1.698771250213749,5075
0.07813898235560704,0.35306621239985597,0.4684861116738819,0.60695532073273,1.2225734052796493,1.697344898799409,5080
0.0780173103554626,0.35267131381406297,0.4679473634686892,0.6062718608864633,1.2216854357506333,1.6959204055854733,5085
0.07789591200095092,0.3522771926294506,0.46740958165425434,0.6055895078028308,1.2207986242934645,1.6944977690642749,5090
0.07777478652650996,0.3518838469254875,0.46687276432838726,0.6049082595683868,1.2199129674246043,1.693076987718726,5095
0.07765393316901836,0.3514912747868935,0.46633690959134616,0.6042281142712105,1.2190284616771654,1.6916580600224185,5100
0.07753335116778842,0.3510994743036312,0.4658020155458559,0.6035490700009316,1.2181451036008204,1.6902409844397432,5105
0.07741303976455764,0.3507084435708906,0.4652680802971191,0.6028711248487456,1.2172628897617002,1.6888257594259866,5110
0.07729299820347998,0.3503181806890757,0.46473510195282725,0.6021942769074309,1.2163818167422948,1.6874123834274353,5115
0.07717322573111943,0.3499286837637948,0.4642030786231793,0.6015185242713739,1.2155018811413658,1.6860008548814902,5120
0.07705372159644112,0.34953995090584605,0.46367200842089074,0.6008438650365827,1.214623079573844,1.6845911722167612,5125
0.07693448505080375,0.34915198023120564,0.46314188946120827,0.6001702973007085,1.2137454086707387,1.6831833338531756,5130
0.07681551534795096,0.34876476986101207,0.46261271986191865,0.599497819163058,1.212868865079037,1.68177733820207,5135
0.0766968117440046,0.34837831792155816,0.46208449774336613,0.5988264287246194,1.2119934454616201,1.6803731836663038,5140
0.07657837349745673,0.3479926225442769,0.4615572212284633,0.5981561240880767,1.2111191464971667,1.6789708686403577,5145
0.07646019986916026,0.34760768186572477,0.4610308884426978,0.5974869033578211,1.2102459648800534,1.6775703915104168,5150
0.0763422901223236,0.3472234940275762,0.46050549751415276,0.5968187646399805,1.209373897320278,1.6761717506544953,5155
0.07622464352250098,0.3468400571766049,0.4599810465735114,0.5961517060424258,1.2085029405433554,1.6747749444425133,5160
0.07610725933758529,0.346457369464674,0.4594575337540711,0.5954857256747924,1.2076330912902338,1.6733799712364017,5165
0.07599013683780058,0.34607542904872285,0.45893495719175437,0.5948208216484965,1.2067643463172035,1.671986829390199,5170
0.07587327529569399,0.34569423409075417,0.4584133150251195,0.5941569920767501,1.205896702395808,1.6705955172501432,5175
0.07575667398612851,0.3453137827578223,0.45789260539537247,0.5934942350745798,1.2050301563127575,1.6692060331547731,5180
0.07564033218627478,0.3449340732220197,0.45737282644637606,0.5928325487588401,1.204164704869838,1.6678183754350147,5185
0.07552424917560344,0.34455510366046294,0.4568539763246588,0.592171931248228,1.2033003448838224,1.666432542414272,5190
0.07540842423587829,0.34417687225528354,0.4563360531794303,0.591512380663304,1.2024370731863916,1.6650485324085331,5195
0.07529285665114771,0.34379937719361275,0.45581905516258653,0.5908538951265021,1.201574886624041,1.6636663437264474,5200
0.07517754570773776,0.3434226166675697,0.4553029804287218,0.5901964727621477,1.2007137820579983,1.6622859746694247,5205
0.07506249069424396,0.3430465888742478,0.45478782713513677,0.5895401116964698,1.1998537563641363,1.6609074235317176,5210
0.07494769090152463,0.3426712920157042,0.45427359344185086,0.5888848100576202,1.1989948064328928,1.6595306886005212,5215
0.07483314562269248,0.3422967242989453,0.45376027751160875,0.5882305659756835,1.198136929169182,1.6581557681560521,5220
0.07471885415310776,0.34192288393591524,0.4532478775098912,0.5875773775826945,1.1972801214923143,1.6567826604716416,5225
0.0746048157903702,0.34154976914348206,0.45273639160492263,0.5869252430126494,1.196424380335912,1.6554113638138188,5230
0.07449102983431224,0.3411773781434269,0.4522258179676819,0.5862741604015238,1.1955697026478291,1.6540418764424019,5235
0.07437749558699104,0.34080570916243014,0.45171615477190946,0.5856241278872831,1.194716085390068,1.6526741966105805,5240
