H,C,N,O,P,Ca,energy
0.029318664924267046,18.65641504566709,30.869857034972416,47.19983230910894,284.8324800220443,600.703706077427,5000
0.029218405315030237,18.598409363583233,30.775324232863206,47.05724415749717,284.0501050374108,599.1648182699292,5005
0.029118587164665723,18.540638726889107,30.68116965551699,46.915218910579284,283.270541356804,597.630729840783,5010
0.029019208112356056,18.483101959978868,30.58739143113618,46.77375383077187,282.4937766967746,596.1014267813437,5015
0.028920265812093903,18.42579789424758,30.493987698971047,46.63284619629952,281.71979883652335,594.576895098503,5020
0.02882175793257619,18.36872536804309,30.40095660924437,46.49249330108986,280.9485956175409,593.0571208150403,5025
0.028723682157097204,18.31188322661738,30.308296323075275,46.35269245466697,280.18015494323964,591.5420899699441,5030
0.028626036183445093,18.255270322079493,30.21600501240558,46.2134409820489,279.414464778603,590.0317886187531,5035
0.028528817723797048,18.19888551334793,30.12408085992502,46.07473622364331,278.6515131498245,588.5262028338757,5040
0.02843202450461717,18.142727666104143,30.032522058998605,45.936575535146076,277.8912881439605,587.0253187049169,5045
0.028335654266553628,18.08679565274571,29.941326813593097,45.79895628743875,277.13377790857305,585.5291223389864,5050
0.028239704764337105,18.031088352340106,29.850493338204764,45.66187586648745,276.3789706513825,584.0375998610076,5055
0.02814417376668111,17.9756046505794,29.760019857788233,45.52533167324385,275.6268546399245,582.5507374140323,5060
0.028049059056181134,17.920343439734225,29.66990460768443,45.38932112354423,274.87741820120004,581.0685211595257,5065
0.027954358429216623,17.865303618609197,29.58014583355082,45.25384164801219,274.1306497213384,579.590937277676,5070
0.02786006969585212,17.81048409249789,29.49074179129071,45.11889069195984,273.38653764525225,578.1179719676733,5075
0.027766190679740205,17.755883773138525,29.40169074698387,44.98446571529073,272.6450704763041,576.6496114479974,5080
0.02767271921802491,17.701501578670005,29.312990976817712,44.85056419240368,271.90623677596716,575.1858419567011,5085
0.027579653161245842,17.647336433588226,29.22464076701869,44.71718361209703,271.17002516349515,573.7266497516836,5090
0.027486990373243224,17.593387268702745,29.136638413784414,44.584321477473445,270.436424315589,572.2720211109621,5095
0.027394728731063127,17.5396530210935,29.048982223215926,44.451975305845274,269.7054229660643,570.8219423329333,5100
0.027302866124864635,17.4861326340686,28.961670511251402,44.3201426286418,268.9770099055312,569.3763997366418,5105
0.027211400457826603,17.432825057121626,28.874701603599334,44.18882099131573,268.2511739810642,567.9353796620339,5110
0.02712032964605535,17.37972924588955,28.78807383567243,44.058007953250566,267.52790409587743,566.4988684702056,5115
0.027029651618494036,17.32684416211147,28.701785552523038,43.92770108767042,266.8071892090099,565.0668525436612,5120
0.026939364316831617,17.274168773586812,28.61583510877765,43.797897981548,266.0890183350022,563.6393182865494,5125
0.02684946569541311,17.221702054134628,28.530220868572883,43.66859623551511,265.3733805435809,562.2162521249077,5130
0.02675995372114988,17.169442983552297,28.444941205490952,43.53979346377233,264.6602649593394,560.7976405068858,5135
0.026670826373432096,17.117390547575788,28.359994502497255,43.41148729400121,263.9496607614335,559.3834699029934,5140
0.026582081644040613,17.0655437378393,28.275379151877114,43.283675367275976,263.2415571832649,557.973726806321,5145
0.02649371753705911,17.013901551834973,28.19109355517252,43.156355337974695,262.53594351216805,556.5683977327495,5150
0.02640573206878928,16.962462992874286,28.10713612312172,43.02952487369455,261.83280908911405,555.1674692211915,5155
0.026318123267663755,16.9112270700481,28.023505275596545,42.90318165516386,261.13214330839673,553.7709278337888,5160
0.02623088917416166,16.860192798188155,27.940199441541814,42.777323376157305,260.4339356173314,552.378760156131,5165
0.026144027840724313,16.80935919782834,27.85721705891487,42.651947743410844,259.7381755159564,550.9909527974562,5170
0.026057537331671352,16.7587252951664,27.77455657462533,42.52705247653735,259.04485255672984,549.607492390861,5175
0.02597141572311794,16.708290122026085,27.69221644447584,42.40263530794318,258.35395634423656,548.2283655934965,5180
0.02588566110289228,16.65805271581924,27.61019513310243,42.278693982744876,257.66547653488874,546.8535590867625,5185
0.02580027157045349,16.608012119508228,27.52849111391574,42.155226258686156,256.97940283663104,545.4830595764927,5190
0.025715245236811422,16.558167381569334,27.44710286904349,42.03222990605735,256.2957250086554,544.1168537931601,5195
0.02563058022444549,16.508517555955372,27.366028889271913,41.90970270761315,255.61443286110523,542.7549284920431,5200
0.025546274667225102,16.459061702059376,27.285267673988702,41.78764245849228,254.93551625478867,541.3972704534165,5205
0.025462326710330375,16.409798884678136,27.20481773112576,41.66604696613719,254.25896510089174,540.0438664827201,5210
0.02537873451017387,16.360728173976373,27.124677577103174,41.54491405021513,253.5847693606954,538.6947034107433,5215
0.025295496234322236,16.31184864545081,27.044845736772583,41.424241542538766,252.91291904529214,537.3497680937835,5220
0.025212610061419193,16.26315937989478,26.965320743361886,41.3040272869881,252.243404215304,536.0090474138213,5225
0.025130074181108495,16.214659463362935,26.886101138419548,41.18426913943249,251.576214980603,534.6725282786753,5230
0.025047886793958175,16.166347987136426,26.80718547176031,41.0649649676539,250.91134150003637,533.3401976221717,5235
0.02496604611138473,16.118224047688145,26.72857230141034,40.94611265127001,250.24877398114833,532.0120424042909,5240
0.0248845503555779,16.070286746648115,26.65026019355308,40.82771008165785,249.58850267990425,530.6880496113233,5245
0.0248033977594272,16.022535190769894,26.572247722476433,40.70975516187941,248.93051790042614,529.3682062560289,5250
0.024722586566446943,15.97496849189587,26.494533470518302,40.59224580660513,248.2748099947103,528.0524993777641,5255
0.024642115030704164,15.92758576692445,26.41711602801511,40.475179942041244,247.62136936237087,526.7409160426473,5260
