H,C,N,O,P,Ca,energy
0.30992071164725826,0.09947509550954156,0.09566356421736436,0.08743782231728213,0.06878855469090908,0.0679442579116101,5000
0.31003874418681426,0.09953855152485369,0.0957299951468481,0.0875106460208037,0.06883371116379107,0.06799434275571047,5005
0.3101564943917905,0.09960190602519675,0.09579632998052351,0.08758337776013378,0.06887883043786608,0.06804438969074288,5010
0.3102739630377325,0.0996651592265224,0.09586256887375401,0.08765601764042372,0.06892391260571279,0.06809439872051568,5015
0.3103911508980508,0.09972831134439743,0.09592871198172453,0.08772856576686118,0.0689689577596767,0.0681443698489005,5020
0.3105080587440255,0.0997913625940032,0.09599475945944057,0.0878010222446692,0.06901396599187097,0.06819430307983188,5025
0.31062468734481286,0.09985431319013692,0.0960607114617283,0.08787338717910502,0.06905893739417722,0.06824419841730744,5030
0.3107410374674498,0.0999171633472104,0.09612656814323353,0.08794566067545835,0.06910387205824581,0.06829405586538712,5035
0.3108571098768597,0.09997991327925076,0.09619232965842182,0.08801784283905072,0.06914877007549673,0.06834387542819327,5040
0.31097290533585725,0.10004256319989975,0.096257996161577,0.0880899337752333,0.06919363153711977,0.06839365710991027,5045
0.31108842460515407,0.10010511332241416,0.09632356780680178,0.08816193358938651,0.06923845653407562,0.06844340091478425,5050
0.3112036684433645,0.10016756385966616,0.09638904474801671,0.08823384238691849,0.06928324515709632,0.06849310684712312,5055
0.3113186376070099,0.1002299150241421,0.09645442713895958,0.08830566027326342,0.06932799749668545,0.06854277491129573,5060
0.31143333285052494,0.10029216702794377,0.09651971513318551,0.08837738735388109,0.06937271364311938,0.06859240511173244,5065
0.31154775492626247,0.10035432008278786,0.09658490888406593,0.0884490237342548,0.06941739368644725,0.06864199745292401,5070
0.3116619045844988,0.10041637440000574,0.09665000854478856,0.0885205695198909,0.06946203771649201,0.0686915519394221,5075
0.31177578257343913,0.1004783301905441,0.09671501426835669,0.08859202481631706,0.06950664582285082,0.06874106857583859,5080
0.31188938963922297,0.10054018766496443,0.09677992620758881,0.08866338972908137,0.06955121809489556,0.06879054736684544,5085
0.31200272652592903,0.10060194703344329,0.09684474451511842,0.0887346643637511,0.06959575462177364,0.06883998831717442,5090
0.31211579397558076,0.10066360850577219,0.09690946934339315,0.08880584882591115,0.06964025549240822,0.06888939143161703,5095
0.31222859272815195,0.10072517229135815,0.09697410084467493,0.08887694322116373,0.0696847207954994,0.06893875671502411,5100
